measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,2009,0.8837318166852314,0.9027402176538301,0.8664288464880903
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,2009,0.4249680075750149,0.4433302284699745,0.40525913623545456
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,2009,0.6767651937083262,0.7242596683280771,0.6352522126749515
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,2004,800178.4619802542,836110.5808819201,764199.8015333454
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,2004,905060.1439001376,948505.7134423181,863224.4731863032
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,2004,187291.49508168345,199498.93450964204,174273.1145662562
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,2004,293842.644269911,318256.5996883273,269692.331398173
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,2004,0.7840867802264028,0.7982049307105342,0.7701922182522682
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,2004,0.8868539441932678,0.9038773063737758,0.8704341173630302
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,2004,0.4370216383138205,0.4563462464511545,0.4180697577030977
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,2004,0.6855780229950778,0.7297985041376083,0.6447879174049888
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,2008,862564.0093370473,904547.071748555,819906.1626876192
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,2008,981426.595971344,1027644.1536019834,932748.5345018138
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,2008,205630.84610316216,218571.31818743804,189515.91107658445
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,2008,326386.7579953102,354487.54518881906,298819.0709604086
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,2008,0.7771996000296315,0.7920097413611212,0.7628439788905811
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,2008,0.8843037924836312,0.9026186554687244,0.8670154520930473
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,2008,0.42762545356775417,0.44796858114250465,0.40810199783165135
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,2008,0.678692663239733,0.7254454868020314,0.6377449573350533
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,2007,839258.4440516206,875591.0118775998,800834.6094081325
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,2007,953436.0498636739,996483.5033748779,908783.49973681
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,2007,200591.70561403377,212869.97866036987,185298.68817965232
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,2007,317428.05264829757,345036.7804960545,290600.00123658765
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,2007,0.7789368274127562,0.7934836919172062,0.7645709697437217
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,2007,0.8849026481258236,0.9030971968162954,0.8679443695704004
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,2007,0.4301234933170218,0.4502466077330322,0.4109539968244206
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,2007,0.6805984294799664,0.7266462945485035,0.6387004375470857
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,2012,929731.5054352975,983609.5821096989,881428.4928554993
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,2012,1063316.2018364577,1121716.3375638265,1004187.1964865304
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,2012,220734.1759481489,235411.7781251371,202349.63240615782
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,2012,355989.1348921036,389143.91147968895,322541.27289238275
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,2012,0.7713553087128233,0.7858919528803568,0.7572566724027092
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,2012,0.8821955877172679,0.901753191609393,0.8645652144925589
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,2012,0.4156883362638084,0.4344086059219854,0.39728811970601646
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,2012,0.6703505278144186,0.7195146827885563,0.6282127078310501
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,2011,915415.1920544947,967004.4423117939,863267.0245683064
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,2011,1045735.5415718096,1104317.9453085102,984901.7580121798
