measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Dietary risks,Number,1996,15077.30956,22266.53343,4804.218493
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Diet low in fruits,Number,1996,15077.30956,22266.53343,4804.218493
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Environmental/occupational risks,Number,1996,98264.33543,116396.2603,80229.69122
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Particulate matter pollution,Number,1996,66628.96814,83750.94912,50047.81446
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Air pollution,Number,1992,167207.4065,209751.2587,124750.855
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Ambient particulate matter pollution,Number,1992,95811.17911,130242.4562,65454.53477
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Household air pollution from solid fuels,Number,1992,71446.32097,101250.9213,46082.65278
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Residential radon,Number,1992,37111.59201,71796.97813,7194.944953
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Tobacco,Number,1992,659838.3475,693432.0959,627714.5455
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,1992,651402.6086,685104.5248,619896.7088
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Secondhand smoke,Number,1992,42542.42141,62239.74577,25528.08535
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",High fasting plasma glucose,Number,1992,52390.53304,124505.3278,8588.964473
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Dietary risks,Number,1992,36873.07586,54576.3567,11912.77661
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Diet low in fruits,Number,1992,36873.07586,54576.3567,11912.77661
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Environmental/occupational risks,Number,1992,319572.1846,372822.5549,263597.4732
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Particulate matter pollution,Number,1992,167207.4065,209751.2587,124750.855
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Air pollution,Number,1992,60058.91818,76702.47022,45073.7683
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Ambient particulate matter pollution,Number,1992,29585.53851,41209.12017,19469.05323
